"1","0101-7438","p","Pesqui. Oper.","valdasd","|","Pesquisa Operacional"
"2","0925-8388","p","J. Alloys Compd.","vilma","|","Journal of Alloys and Compounds"
"3","1046-2023","p","Methods","valdasd","|","Methods (S. Diego Calif. Print)","Methods (San Diego, Calif., Print)","Methods a Companion To Methods in Enzymology"
"4","0272-8842","p","Ceram. Int.","vilma","|","Ceramics International"
"5","0008-4395","p","Can. Math. Bull.","valdasd","|","Canadian Mathematical Bulletin","Bulletin Canadien de Math\'{e}matiques","Canad. Math. Bull.","Canadian Mathematical Bulletin. Bulletin Canadien de Mathematiques"
"6","0890-5401","p","Inf. Comput.","valdasd","|","Information and Computation","Inf. Comput. (Print)","Information and Computation (Print)","Inform. and Comput."
"7","0304-4165","p","Biochim. Biophys. Acta G, Gen. Subj.","valdasd","|","Biochimica Et Biophysica Acta. G, General Subjects","Biochimica Et Biophysica Acta","Biochim. Biophys. Acta, Gen. Subj. (Print)","Biochimica Et Biophysica Acta. G, General Subjects (Print)","BBA. Biochimica Et Biophysica Acta. General Subjects","Biochim. Biophys. Acta (G)","Biochimica Et Biophysica Acta (G). General Subjects","Biochimica Et Biophysica Acta (BBA) - General Subjects"
"8","1070-664X","p","Phys. Plasmas","daivab","|","Physics of Plasmas"
"9","0022-040X","p","J. Differ. Geom.","daivab","|","Journal of Differential Geometry","J. Differential Geom."
"10","0167-2738","p","Solid State Ion.","vilma","|","Solid State Ionics"
"11","0163-5808","p","SIGMOD Rec.","daivab","|","SIGMOD Record","SIGMOD"
"12","0096-3003","p","Appl. Math. Comput.","vilma","|","Applied Mathematics and Computation"
"13","1382-4090","p","Ramanujan J.","daivab","|","The Ramanujan Journal","Ramanujan Journal","The Ramanujan Journal. An International Journal Devoted To the Areas of Mathematics Influenced by Ramanujan"
"14","1036-1146","p","Aust. J. Polit. Sci.","daivab","|","Australian Journal of Political Science"
"15","0938-1953","p","Surv. Math. Ind.","valdasd","|","Surveys on Mathematics for Industry"
"16","1120-7183","p","Rend. Mat. Appl.","vilma","Rend. Mat. Appl. (7)","remi","|","Rendiconti Di Matematica E Delle Sue Applicazioni","Rend. Mat. Appl. (1981)","Rendiconti Di Matematica E Delle Sue Applicazioni (1981)","Rendiconti Di Matematica E Delle Sue Applicazioni. Serie VII"
"17","0014-4983","p","Explor. Econ. Hist.","valdasd","|","Explorations in Economic History","Explor. Econ. Hist. (Print)","Explorations in Economic History (Print)","EEH"
"18","1387-1811","p","Microporous Mesoporous Mater.","valdasd","|","Microporous and Mesoporous Materials","Microporous Mesoporous Mater. (Print)","Microporous and Mesoporous Materials (Print)"
"19","1367-2630","p","New J. Phys.","valdasd","|","New Journal of Physics","NJP"
"20","1389-4420","p","Optim. Eng.","daivab","|","Optimization and Engineering. International Multidisciplinary Journal To Promote Optimization Theory & Applications in Engineering Sciences","Optimization and Engineering. International Multidisciplinary Journal To Promote Optimization Theory \& Applications in Engineering Sciences","Optimization and Engineering"
"21","1570-8667","p","J. Discrete Algorithms","valdasd","|","Journal of Discrete Algorithms","Journal of Discrete Algorithms (Print)"
"22","0169-2968","p","Fundam. Inform.","valdasd","|","Fundamenta Informaticae","Fund. Inform."
"23","0016-2736","p","Fundam. Math.","valdasd","|","Fundamenta Mathematicae","Fund. Math."
"24","1063-7095","p","Int. Appl. Mech.","daivab","|","International Applied Mechanics","International Applied Mechanics =","Prikladnaya Mekhanika","Internat. Appl. Mech."
"25","0165-2370","p","J. Anal. Appl. Pyrolysis","daivab","|","Journal of Analytical and Applied Pyrolysis","J. Anal. Appl. Pyrolysis (Print)","Journal of Analytical and Applied Pyrolysis (Print)","International Symposium on Analytical and Applied Pyrolysis"
"26","0944-2669","p","Calc. Var. Partial Differ. Equ.","daivab","|","Calculus of Variations and Partial Differential Equations","Calculus of Variations","Calc. Var. Partial Differential Equations"
"27","0030-3887","p","Opsearch","valdasd","|","Opsearch. Journal of the Operational Research Society of India"
"28","0959-1524","p","J. Process Control","valdasd","|","Journal of Process Control"
"29","0028-0283","p","Natl. Tax J.","valdasd","|","National Tax Journal"
"30","0324-6523","m","Acta Univ. Szeged.","valdasd","|","Acta Universitatis Szegediensis","A Szegedi Egyetem K\""{o}zlem\'{e}nyei","Szegedi Egyetem K\""{o}zlem\'{e}nyei","Szegedi Tudom\'{a}nyegyetem Act\'{a}ja","Acta Universitatis Szegedinensis","Acta Universitatis Szegediensis de Attila J\'{o}zsef Nominatae","Acta Universitatis de Attila J\'{o}zsef Nominatae","Acta Universitatis J\'{o}zsef Attila","Acta Universitatis Scientiarum Szegediensis"
"31","0013-4686","p","Electrochim. Acta","valdasd","|","Electrochimica Acta"
"32","0021-3640","p","JETP Lett.","vilma","|","JETP Letters","Journal of Theoretical and Experimental Physics Letters","Soviet Physics., JETP","Soviet Physics., Letters To the Editor","Soviet Physics JETP. Letters To the Editor"
"33","0885-7474","p","J. Sci. Comput.","valdasd","|","Journal of Scientific Computing"
"34","0065-1036","o","Acta Arith.","valdasd","|","Acta Arithmetica"
"35","0893-9659","p","Appl. Math. Lett.","valdasd","|","Applied Mathematics Letters","Applied Mathematics Letters. An International Journal of Rapid Publication"
"36","0927-0248","p","Sol. Energy Mater. Sol. Cells","vilma","|","Solar Energy Materials and Solar Cells"
"37","0219-0257","p","Infin. Dimens. Anal. Quantum Probab. Relat. Top.","valdasd","|","Infinite Dimensional Analysis, Quantum Probability, and Related Topics","IDAQP","Infinite Dimensional Analysis, Quantum Probability and Related Topics","\""Infinite Dimensional Analysis Quantum Probability and Related Topics\""","Infinite Dimensional Analysis Quantum Probability and Related Topics"
"38","0377-2217","p","Eur. J. Oper. Res.","daivab","|","European Journal of Operational Research","European J. Oper. Res.","EJOR"
"39","0955-2219","p","J. Eur. Ceram. Soc.","daivab","|","Journal of the European Ceramic Society"
"40","0167-8191","p","Parallel Comput.","vilma","|","Parallel Computing","Parallel Computing. Theory and Applications"
"41","1542-4766","p","J. Eur. Econ. Assoc.","daivab","|","Journal of the European Economic Association","JEEA"
"42","0737-4038","p","Mol. Biol. Evol.","valdasd","|","Molecular Biology and Evolution","MBE"
"43","0022-0434","p","J. Dyn. Syst. Meas. Control","valdasd","|","Journal of Dynamic Systems, Measurement, and Control","Journal of Dynamic Systems Measurement and Control"
"44","0899-8256","p","Games Econ. Behav.","daivab","|","Games and Economic Behavior","Games Econ. Behav. (Print)","Games and Economic Behavior (Print)","Games Econom. Behav."
"45","1040-7294","p","J. Dyn. Differ. Equ.","daivab","|","Journal of Dynamics and Differential Equations","J. Dynam. Differential Equations"
"46","0379-6779","p","Synth. Met.","vilma","|","Synthetic Metals"
"47","1531-5320","o","Psychon. Bull. Rev.","valdasd","|","Psychonomic Bulletin & Review","Psychonomic Bulletin \& Review","Psychon. Bull. Rev. (Online)","Psychonomic Bulletin \& Review (Online)","Psychonomic Bulletin and Review"
"48","0273-429X","p","Chin. Phys.","valdasd","|","Chinese Physics","Zhong Guo Wu Li","Chung Kuo Wu Li"
"49","0019-5588","u","Indian J. Pure Appl. Math.","vilma","|","Indian Journal of Pure and Applied Mathematics"
