"","","","ACM Comput. Surv.","user-choice","|","ACM Computing Surveys (CSUR)"
"","","","ACM Comput. Surv.","user-choice","|","ACM Computing Surveys"
"","","","ACM Trans. Comput. Educ.","user-choice","|","ACM Transactions on Computing Education"
"","","","ACM Trans. Database Syst.","user-choice","|","ACM Transactions on Database Systems"
"","","","ACM Trans. Graph.","user-choice","|","ACM Trans. Graphics"
"","","","ACM Trans. Program. Lang. Syst.","user-choice","|","{ACM} Transactions on Programming Languages and Systems"
"","","","APMIS, Acta Pathol. Microbiol. Immunol. Scand.","user-choice","|","Apmis"
"","","","Abh. Braunschw. Wiss. Ges.","user-choice","|","Abhandlungen der Braunschweigischen Wissenschaftlichen Gesellschaft"
"","","","Abh. K\"{o}nigl. Ges. Wiss. G\"{o}ttingen","user-choice","|","Abhandlungen der k\"{o}niglichen Gesellschaft der Wissenschaften zu G\"{o}ttingen"
"","","","Acta Crystallogr., D","user-choice","|","Acta Crystallographica Section D"
"","","","Acta Inform.","user-choice","|","Acta Informatica"
"","","","Acta Mater.","user-choice","|","Acta Mater"
"","","","Acta Math. Acad. Sci. Hung.","user-choice","|","Acta. Math. Acad. Sci. Hung."
"","","","Acta Math. Acad. Sci. Hung.","user-choice","|","Acta. Math. Acad. Sci. Hungar."
"","","","Acta Math.","user-choice","|","Acta Mathematica"
"","","","Acta Numer.","user-choice","|","Acta Numerica"
"","","","Acta Psychol.","user-choice","|","Acta Psychologica"
"","","","Acta Soc. Sci. Fenn.","user-choice","|","Acta Soc. Scientiarium Fennicae"
"","","","Ad Hoc Netw. B","user-choice","|","Ad Hoc Networks, Part B"
"","","","Ad Hoc Netw.","user-choice","|","Ad Hoc Networks"
"","","","Adv. Complex Syst.","user-choice","|","Advances in Complex Systems"
"","","","Adv. Difference Equ.","user-choice","|","Adv. Difference Equ."
"","","","Adv. Difference Equ.","user-choice","|","Advances in Difference Equations"
"","","","Adv. Exp. Med. Biol.","user-choice","|","Adv. Exp. Med. Biol."
"","","","Adv. Exp. Med. Biol.","user-choice","|","Advances in Experimental Medicine and Biology"
"","","","Adv. Math.","user-choice","|","Adv. in Math."
"","","","Adv. Parallel Process. Technol.","user-choice","|","Advanced Parallel Processing Technologies"
"","","","Adv. Virus Res.","user-choice","|","Advances in Virus Research"
"","","","Aeronaut. J.","user-choice","|","Aeronautical Journal"
"","","","Algebra Log.","user-choice","|","Algebra and Logic"
"","","","Algebra Log.","user-choice","|","Algebra i Logika"
"","","","Am. J. Math.","user-choice","|","Amer. J. Math."
"","","","Am. J. Math.","user-choice","|","American Journal of Mathematics"
"","","","Am. J. Phys.","user-choice","|","American Journal of Physics"
"","","","Am. Math. Mon.","user-choice","|","Amer. Math. Month."
"","","","Am. Math. Mon.","user-choice","|","Amer. Math. Monthly"
"","","","Am. Math. Mon.","user-choice","|","American Mathematical Monthly"
"","","","Am. Math. Mon.","user-choice","|","The American Mathematical Monthly"
"","","","Am. Sci.","user-choice","|","American Scientist"
"","","","An. Univ. Oradea, Fasc. Mat.","user-choice","|","Analele Universitatii diin Oradea Fascicula Matematica"
"","","","Analysis","user-choice","|","Analysis (Munich)"
"","","","Ancient Philos.","user-choice","|","Ancient Philosophy"
"","","","Ann. Chim. Phys.","user-choice","|","Annales de Chimie et de Physique"
"","","","Ann. Discrete Math.","user-choice","|","Annals of Discrete Mathematics"
"","","","Ann. Hist. Comput.","user-choice","|","Ann. Hist. Comp."
"","","","Ann. Inst. Fourier","user-choice","|","Ann. Inst. Fourier (Grenoble)"
"","","","Ann. Inst. Fourier","user-choice","|","Ann. L'Inst. Fourier (Grenoble)"
"","","","Ann. Inst. Henri Poincar\'{e}","user-choice","|","Ann. Henri Poincar\'{e}"
"","","","Ann. Inst. Henri Poincar\'{e}, A Phys. Th\'{e}or.","user-choice","|","Ann. Inst. Henri Poincare A"
"","","","Ann. Mat. Pura Appl. (3)","user-choice","|","Annali di Matematica Pura e Applicata (3)"
"","","","Ann. Mat. Pura Appl. (3)","user-choice","|","Annali di Matematica pura ed applicata (3)"
"","","","Ann. Mat. Pura Appl.","user-choice","|","Annali di Matematica Pura ed Applicata"
"","","","Ann. Mat. Pura Appl.","user-choice","|","Annali di Matematica pura ed applicata"
"","","","Ann. Math. Pures Appl.","user-choice","|","Annales de Math\'ematiques pures et appliqu\'ees"
"","","","Ann. Math. Pures Appl.","user-choice","|","Annales de Math\'{e}matiques pures et appliqu\'{e}es"
"","","","Ann. Math. Stat.","user-choice","|","Annals of Mathematical Statistics"
"","","","Ann. Math. Stat.","user-choice","|","The Annals of Mathematical Statistics"
"","","","Ann. Math.","user-choice","|","Ann. of Math. (2)"
"","","","Ann. Math.","user-choice","|","Ann. of Math."
"","","","Ann. Math.","user-choice","|","Annals of Mathematics"
"","","","Ann. Neurol.","user-choice","|","Annals of Neurology"
"","","","Ann. Oper. Res.","user-choice","|","Annals of Operations Research"
"","","","Ann. Phys.","user-choice","|","Ann. Phys. (N. Y.)"
"","","","Ann. Phys.","user-choice","|","Ann. Phys. NY"
"","","","Ann. Phys.","user-choice","|","Annals Phys."
"","","","Ann. Phys.","user-choice","|","Annals of Physics"
"","","","Ann. Pol. Math.","user-choice","|","Annales Polonici Mathematici"
"","","","Ann. Sci.","user-choice","|","Annals of Science"
"","","","Ann. Stat.","user-choice","|","Annals of Statistics"
"","","","Ann. Storia Univ. Italiane","user-choice","|","Annali di Storia delle Universit\`{a} Italiane"
"","","","Ann. Univ. Grenoble","user-choice","|","Annales de l'Universit\'{e} de Grenoble"
"","","","Ann. Univ. Grenoble, Sect. Sci. Math. Phys.","user-choice","|","Annales de l'Universit\'{e} de Grenoble, Section sciences math\'{e}matiques et physiques"
"","","","Annu. Rev. Biochem.","user-choice","|","Annual Review of Biochemistry"
"","","","Annu. Rev. Chem. Biomol. Eng.","user-choice","|","Ann Rev Chem and Biomol Eng"
"","","","Annu. Rev. Condens. Matter Phys.","user-choice","|","Annual Review of Condensed Matter Physics"
"","","","Annu. Rev. Earth Planet. Sci.","user-choice","|","Annual Review of Virology"
"","","","Annu. Rev. Entomol.","user-choice","|","Annual Review of Entomology"
"","","","Annu. Rev. Environ. Resour.","user-choice","|","Annual Review of Environment and Resources"
"","","","Annu. Rev. Immunol.","user-choice","|","Annu Rev Immunol"
"","","","Annu. Rev. Microbiol.","user-choice","|","Annual Review of Microbiology"
"","","","Annu. Rev. Nucl. Part. Sci.","user-choice","|","Ann. Rev. Nucl. Part. Sci."
"","","","Annu. Rev. Virol.","user-choice","|","Annual Review of Virology"
"","","","Antimicrob. Agents Chemother.","user-choice","|","Antimicrob. Agents Chemother."
"","","","Antimicrob. Agents Chemother.","user-choice","|","Antimicrobial Agents and Chemotherapy"
"","","","Antivir. Chem. Chemother.","user-choice","|","Antiviral Chemistry \& Chemotherapy"
"","","","Antivir. Res.","user-choice","|","Antiviral Research"
"","","","Appl. Comput. Harmon. Anal.","user-choice","|","Applied and Computational Harmonic Analysis"
"","","","Appl. Gen. Topol.","user-choice","|","Applied Gen. Top."
"","","","Appl. Math. Lett.","user-choice","|","Applied Mathematics Letters"
"","","","Appl. Numer. Math.","user-choice","|","Applied Numerical Mathematics"
"","","","Appl. Phys. Lett.","user-choice","|","App. Phys. Lett."
"","","","Appl. Phys. Lett.","user-choice","|","Appl. Phys. Lett."
"","","","Arch. Gesamte Virusforsch.","user-choice","|","Archiv f\"{u}r die Gesamte Virusforschung"
"","","","Arch. Hist. Exact Sci.","user-choice","|","Archiv for History of Exact Sciences"
