"","1619-4500","p","4OR","","|","4OR. A Quarterly Journal of Operations Research","",""
"","","m","26o Coloq. Bras. Mat.","","|","26o Coloquio Brasileiro de Matematica","26th Brazilian Mathematics Colloquium",""
"","","m","27o Coloq. Bras. Mat.","","|","27o Coloquio Brasileiro de Matematica","27th Brazilian Mathematics Colloquium",""
"","","m","100-let. Dnya Rozhd. A. N. Kolmogorova","","|","K 100-letiyu so Dnya Rozhdeniya Andreya Nikolaevicha Kolmogorova","On the Centenary of the Birth of Andrei Nikolaevich Kolmogorov",""
"","","m","Abel Symp.","","|","Abel Symposia","",""
"","0068-0737","p","Abh. Braunschw. Wiss. Ges.","","|","Abhandlungen der Braunschweigischen Wissenschaftlichen Gesellschaft","",""
"","0025-5858","p","Abh. Math. Semin. Univ. Hambg.","","|","Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg","",""
"","1085-3375","p","Abstr. Appl. Anal.","","|","Abstract and Applied Analysis","",""
"","0001-4141","p","Acad. Roy. Belg. Bull. Cl. Sci. (6)","","|","Academie Royale de Belgique. Bulletin de la Classe des Sciences. 6e Serie","",""
"","0163-5824","p","ACM Commun. Comput. Algebra","","|","ACM Communications in Computer Algebra","",""
"","1084-6654","p","ACM J. Exp. Algorithmics","","|","ACM Journal of Experimental Algorithmics","",""
"","1549-6325","p","ACM Trans. Algorithms","","|","ACM Transactions on Algorithms","",""
"","1529-3785","p","ACM Trans. Comput. Log.","","|","ACM Transactions on Computational Logic","",""
"","0098-3500","p","ACM Trans. Math. Software","","|","Association for Computing Machinery. Transactions on Mathematical Software","",""
"","1009-1327","p","Acta Anal. Funct. Appl.","","|","Acta Analysis Functionalis Applicata. AAFA. Yingyong Fanhanfenxi Xuebao","",""
"","0167-8019","p","Acta Appl. Math.","","|","Acta Applicandae Mathematicae. An International Survey Journal on Applying Mathematics and Mathematical Applications","",""
"","0065-1036","p","Acta Arith.","","|","Acta Arithmetica","",""
"","0254-4156","p","Acta Automat. Sinica","","|","Acta Automatica Sinica. Zidonghua Xuebao","",""
"","0970-0455","p","Acta Cienc. Indica Math.","","|","Acta Ciencia Indica. Mathematics","",""
"","0001-5504","p","Acta Cient. Venezolana","","|","Acta Cientifica Venezolana. Asociacion Venezolana para el Avance de la Ciencia","",""
"","1406-2283","p","Acta Comment. Univ. Tartu. Math.","","|","Acta et Commentationes Universitatis Tartuensis de Mathematica","",""
"","0108-7673","p","Acta Crystallogr. Sect. A","","|","Acta Crystallographica Section A. Foundations of Crystallography","",""
"","0324-721X","p","Acta Cybernet.","","|","Acta Cybernetica","",""
"","0001-5903","p","Acta Inform.","","|","Acta Informatica","",""
"","0001-5962","p","Acta Math.","","|","Acta Mathematica","",""
"","1786-0091","p","Acta Math. Acad. Paedagog. Nyhazi. (N.S.)","","|","Acta Mathematica. Academiae Paedagogicae Nyiregyhaziensis. New Series","",""
