"Academia Econ. Pap.","Academia Economic Papers"
"Acc. Rev.","Accounting Review"
"Acc., Bus. Finan. Hist.","Accounting, Business and Financial History"
"ACES Bull.","ACES Bulletin"
"Acta Oecon.","Acta Oeconomica"
"Advanc. Cons. Interest","Advancing the Consumer Interest"
"African Devel. Rev./Revue Africaine Devel.","African Development Review/Revue Africaine de Developpement"
"African Econ. Hist.","African Economic History"
"African Finance J.","African Finance Journal"
"Afrika Spec.","Afrika Spectrum"
"Agenda","Agenda"
"Agribusiness","Agribusiness"
"Agr. Resource Econ. Rev.","Agricultural and Resource Economics Review"
"Agr. Econ. Res.","Agricultural Economics Research"
"Agr. Econ.","Agricultural Economics"
"Agr. Finance Rev.","Agricultural Finance Review"
"Agr. Human Values","Agriculture and Human Values"
"Agr. Resources Quart.","Agriculture and Resources Quarterly"
"Agronomia Mesoamericana","Agronomia Mesoamericana"
"Allgemeines Statistisches Arch./J. German Statistical Society","Allgemeines Statistisches Archiv/Journal of the German Statistical Society"
"Amer. Econ. Rev.","American Economic Review"
"Amer. Economist","American Economist"
"Amer. Enterprise","American Enterprise"
"Amer. Historical Rev.","American Historical Review"
"Amer. J. Agr. Econ.","American Journal of Agricultural Economics"
"Amer. J. Econ. Sociology","American Journal of Economics and Sociology"
"Amer. Law Econ. Rev.","American Law and Economics Review"
"Amer. Polit. Sci. Rev.","American Political Science Review"
"Amer. Prospect","American Prospect"
"Amer. Real Estate Urban Econ. Assoc. J.","American Real Estate and Urban Economics Association Journal"
"Amer. Statistician","American Statistician"
"Anal. Prévision","Analyse Prévision"
"Ann. Econ. Statist.","Annales d'Economie et de Statistique"
"Ann. INSEE","Annales de l'INSEE"
"Ann. Sci. Econ. Appl.","Annales de Sciences Economiques Appliqués"
"Ann. Fac. Econ. Com., Univ. Palermo","Annali della facolta` di Economia e Commercio, Universita` Palermo"
"Ann. Econ. Soc. Meas.","Annals of Economic and Social Measurement"
"Ann. Econ. Finance","Annals of Economics and Finance"
