"","","p","Academia Econ. Pap.","","|","Academia Economic Papers"
"","","p","Acc. Rev.","","|","Accounting Review"
"","","p","Acc., Bus. Finan. Hist.","","|","Accounting, Business and Financial History"
"","","p","ACES Bull.","","|","ACES Bulletin"
"","","p","Acta Oecon.","","|","Acta Oeconomica"
"","","p","Advanc. Cons. Interest","","|","Advancing the Consumer Interest"
"","","p","African Devel. Rev./Revue Africaine Devel.","","|","African Development Review/Revue Africaine de Developpement"
"","","p","African Econ. Hist. ","","|","African Economic History"
"","","p","African Finance J.","","|","African Finance Journal"
"","","p","Afrika Spec.","","|","Afrika Spectrum"
"","","p","Agenda","","|","Agenda"
"","","p","Agribusiness","","|","Agribusiness"
"","","p","Agr. Resource Econ. Rev.","","|","Agricultural and Resource Economics Review"
"","","p","Agr. Econ. Res.","","|","Agricultural Economics Research"
"","","p","Agr. Econ.","","|","Agricultural Economics"
"","","p","Agr. Finance Rev.","","|","Agricultural Finance Review"
"","","p","Agr. Human Values","","|","Agriculture and Human Values"
"","","p","Agr. Resources Quart.","","|","Agriculture and Resources Quarterly"
"","","p","Agronomia Mesoamericana","","|","Agronomia Mesoamericana"
"","","p","Allgemeines Statistisches Arch./J. German Statistical Society","","|","Allgemeines Statistisches Archiv/Journal of the German Statistical Society"
"","","p","Amer. Econ. Rev.","","|","American Economic Review"
"","","p","Amer. Economist","","|","American Economist"
"","","p","Amer. Enterprise","","|","American Enterprise"
"","","p","Amer. Historical Rev.","","|","American Historical Review"
"","","p","Amer. J. Agr. Econ.","","|","American Journal of Agricultural Economics"
"","","p","Amer. J. Econ. Sociology","","|","American Journal of Economics and Sociology"
"","","p","Amer. Law Econ. Rev.","","|","American Law and Economics Review"
"","","p","Amer. Polit. Sci. Rev.","","|","American Political Science Review"
"","","p","Amer. Prospect","","|","American Prospect"
"","","p","Amer. Real Estate Urban Econ. Assoc. J.","","|","American Real Estate and Urban Economics Association Journal"
"","","p","Amer. Statistician","","|","American Statistician"
"","","p","Anal. Prevision","","|","Analyse Prevision"
"","","p","Ann. Econ. Statist.","","|","Annales d'Economie et de Statistique"
"","","p","Ann. INSEE","","|","Annales de l'INSEE"
"","","p","Ann. Sci. Econ. Appl.","","|","Annales de Sciences Economiques Appliques"
"","","p","Ann. Fac. Econ. Com., Univ. Palermo","","|","Annali della facolta di Economia e Commercio, Universita Palermo"
"","","p","Ann. Econ. Soc. Meas.","","|","Annals of Economic and Social Measurement"
"","","p","Ann. Econ. Finance","","|","Annals of Economics and Finance"
"","","p","Ann. Public Coop. Econ.","","|","Annals of Public and Cooperative Economics"
"","","p","Ann. Reg. Sci.","","|","Annals of Regional Science"
"","","p","Ann. Amer. Acad. Polit. Soc. Sci.","","|","Annals of the American Academy of Political and Social Science"
"","","p","Antitrust Bull.","","|","Antitrust Bulletin"
"","","p","Antitrust Law Econ.","","|","Antitrust Law and Economics Review"
"","","p","Appl. Econ. Letters","","|","Applied Economics Letters"
"","","p","Appl. Econ.","","|","Applied Economics"
"","","p","Appl. Finan. Econ.","","|","Applied Financial Economics"
"","","p","Appl. Geogr. Devel.","","|","Applied Geography and Development"
"","","p","Appl. Math. Finance","","|","Applied Mathematical Finance"
"","","p","Aquaculture Econ. Manage.","","|","Aquaculture Economics and Management"
"","","p","Archives Econ. Hist.","","|","Archives of Economic History"
"","","p","Arquivo Inst.","","|","Arquivo do Instituto Gulbenkian de Ciencia"
"","","p","Artha-Vikas","","|","Artha-Vikas"
"","","p","Arthaniti","","|","Arthaniti"
"","","p","ASEAN Econ. Bull.","","|","ASEAN Economic Bulletin"
"","","p","Asia Pacific Bus. Rev. ","","|","Asia Pacific Business Review"
"","","p","Asia Pacific J. Econ. Bus.","","|","Asia Pacific Journal of Economics and Business"
"","","p","Asia-Pacific Devel. J.","","|","Asia-Pacific Development Journal"
"","","p","Asia-Pacific Econ. Rev.","","|","Asia-Pacific Economic Review"
"","","p","Asia-Pacific Finan. Markets","","|","Asia-Pacific Financial Markets"
"","","p","Asian Devel. Rev.","","|","Asian Development Review"
"","","p","Asian Econ. J.","","|","Asian Economic Journal"
"","","p","Asian Econ. Rev.","","|","Asian Economic Review"
