"Acc Chem Res","Accounts of Chemical Research"
"Acta Chem Scand","Acta Chemica Scandinavica"
"Acta Crystallogr","Acta Crystallographica"
"Acta Crystallogr Sect A","Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography"
"Acta Crystallogr Sect B","Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry"
"Acta Mathe Acad Sci Hung","Acta Mathematica Academiae Scientiarum Hungaricae"
"Acta Metall","Acta Metallurgica"
"Acta Oto-Laryngol","Acta Oto-Laryngologica"
"Acta Phys","Acta Physica"
"Acta Phys Austriaca","Acta Physica Austriaca"
"Acta Phys Pol","Acta Physica Polonica"
"Acustica","Acustica"
"Adv Appl Mech","Advances in Applied Mechanics"
"Adv At Mol Phys","Advances in Atomic and Molecular Physics"
"Adv Chem Phys","Advances in Chemical Physics"
"Adv Magn Reson","Advances in Magnetic Resonance"
"Adv Phys","Advances in Physics"
"Adv Quantum Chem","Advances in Quantum Chemistry"
"AIAA J","AIAA Journal"
"AIChE J","AIChE Journal"
"AIP Conf Proc","AIP Conference Proceedings"
"Akust Zh [Sov Phys Acoust]","Akusticheskii Zhurnal [Soviet Physics-Acoustics]"
"Am J Phys","American Journal of Physics"
"Anal Chem","Analytical Chemistry"
"Ann Phys (Leipzig)","Annalen der Physik (Leipzig)"
"Ann Chim Phys","Annales de Chimie et de Physique"
"Ann Geophys","Annales de Geophysique"
"Ann Inst Henri Poincare","Annales de l' Institut Henri Poincare"
"Ann Inst Henri Poincare, A","Annales de l' Institut Henri Poincare, Section A: Physique Theorique"
"Ann Inst Henri Poincare, B","Annales de l' Institut Henri Poincare, Section B: Calcul des Probabilites et Statistique"
"Ann Phys (Paris)","Annales de Physique (Paris)"
"Ann Fluid Dyn","Annals of Fluid Dynamics"
"Ann Math","Annals of Mathematics"
"Ann Otol Rhinol Laryngol","Annals of Otology, Rhinology, & Laryngology"
"Ann Phys (NY)","Annals of Physics (New York)"
"Annu Rev Nucl Sci","Annual Review of Nuclear Science"
"Appl Opt","Applied Optics"
"Appl Phys Lett","Applied Physics Letters"
"Appl Spectrosc","Applied Spectroscopy"
"Ark Fys","Arkiv foer Fysik"
"Astron J","Astronomical Journal"
"Astron Zh [Sov Astron]","Astronomicheskii Zhurnal [Soviet Astronomy]"
"Astron Nachr","Astronomische Nachrichten"
"Astron Astrophys","Astronomy and Astrophysics"
"Astrophys J","Astrophysical Journal"
"Astrophys J Lett","Astrophysical Journal, Letters to the Editor"
"Astrophys J Suppl Ser","Astrophysical Journal, Supplement Series"
"Astrophys Lett","Astrophysical Letters"
"At Data Nucl Data Tables","Atomic Data and Nuclear Data Tables"
"At Energ [Sov J At Energy]","Atomnaya Energiya [Soviet Journal of Atomic Energy]"
"Aust J Phys","Australian Journal of Physics"
"Bell Syst Tech J","Bell System Technical Journal "
"Ber Bunsenges Phys Chem","Berichte der Bunsengesellschaft fur Physikalische Chemie"
"Biogr Mem s Fell R Soc","Biographical Memoirs of Fellows of the Royal Society "
"Biol Lett","Biology Letters"
"Br J Appl Phys","British Journal of Applied Physics"
"Bull Acad Sci USSR, Phys Ser","Bulletin of the Academy of Sciences of the USSR, Physical Series (translation of Izvestiya Akademii Nauk SSSR, Seriya Fizicheskaya)"
"Bull Am Astron Soc","Bulletin of the American Astronomical Society"
"Bull Am Phys Soc","Bulletin of The American Physical Society"
"Bull Astron Inst Neth","Bulletin of the Astronomical Institutes of the Netherlands"
"Bull Chem Soc Jpn","Bulletin of the Chemical Society of Ja pa n"
"Bull Seismol Soc Am","Bulletin of the Seismological Society of America"
"Can J Chem","Canadian Journal of Chemistry"
"Can J Phys","Canadian Journal of Physics"
"Can J Res","Canadian Journal of Research"
"Chem Phys","Chemical Physics"
"Chem Phys Lett","Chemical Physics Letters"
"Chem Rev","Chemical Reviews"
"Chin J Phys","Chinese Journal of Physics [translation of Wuli Xuebao (Acta Physica Sinica)]"
"Comments Astrophys Space Phys","Comments on Astrophysics and Space Physics"
"Comments At Mol Phys","Comments on Atomic and Molecular Physics"
"Comments Nucl Part Phys","Comments on Nuclear and Particle Physics"
"Comments Plasma Phys Controlled Fusion","Comments on Plasma Physics and Controlled Fusion"
"Comments Solid State Phys","Comments on Solid State Physics"
"Commun Math Phys","Communications in Mathematical Physics"
"Commun Pure Appl Math","Communications on Pure and Applied Mathematics"
"C R Acad Sci","Comptes Rendus Hebdomadaires des Seances de l' Academie des Sciences"
"C R Acad Sci Ser A","Comptes Rendus Hebdomadaires des Seances de l' Academie des Sciences, Serie A: Sciences Mathematiques"
"C R Acad Sci Ser B","Comptes Rendus Hebdomadaires des Seances de l' Academie des Sciences, Serie B: Sciences Physiques"
"Comput Phys Commun Cryogenics","Computer Physics Communications Cryogenics"
"Czech J Phys","Czechoslovak Journal of Physics"
"Discuss Faraday Soc","Discussions of the Faraday Society"
"Dokl Akad Nauk SSSR [Sov Phys Dokl]","Doklady Akademii Nauk SSSR [Soviet Physics-Doklady]"
"Earth Planet Sci Lett","Earth and Planetary Science Letters"
"Electron Lett","Electronics Letters"
"Experientia","Experientia"
"Fields Quanta","Fields and Quanta"
"Fiz Elem Chastits At Yadra [Sov J Part Nucl]","Fizika Elementarnykh Chastits i Atomnogo Yadra [Soviet Journal of Particles and Nuclei]"
"Fiz Tekh Poluprovodn [Sov Phys Semicond]","Fizika i Tekhnika Poluprovodnikov [Soviet Physics-Semiconductors]"
"Fiz Met Metalloved [Phys Met Metallogr (USSR)]","Fizika Metallov i Metallovedenie [Physics of Metals and Metallography (USSR)]"
"Fiz Nizk Temp [Sov J Low Temp Phys]","Fizika Nizkikh Temperatur [Soviet Journal of Low Temperature Physics]"
"Fiz Plazmy [Sov J Plasma Phys]","Fizika Plazmy [Soviet Journal of Plasma Physics]"
"Fiz Tverd Tela (Leningrad) [Sov Phys Solid State]","Fizika Tverdogo Tela (Leningrad) [Soviet Physics-Solid State]"
"Fizika (Zagreb)","Fizika (Zagreb)"
"Fortschr Phys","Fortschritte der Physik"
"Found Phys","Foundations of Physics"
"Gen Relativ Gravit","General Relativity and Gravitation"
"Geochim Cosmochim Acta","Geochimica et Cosmochimica Acta"
"Helv Chim Acta","Helvetica Chimica Acta"
"Helv Phys Acta","Helvetica Physica Acta"
"High Temp (USSR)","High Temperature (USSR) (translation of Teplofizika Vysokikh Temperatur)"
"IBM J Res Dev","IBM Journal of Research and Development"
"Icarus","Icarus"
"IEEE J Quantum Electron","IEEE Journal of Quantum Electronics"
"IEEE Trans Antennas Propag","IEEE Transactions on Antennas and Propagation"
"IEEE Trans Electron Devices","IEEE Transactions on Electron Devices"
"IEEE Trans Inf Theory","IEEE Transactions on Information Theory"
"IEEE Trans Instrum Meas","IEEE Transactions on Instrumentation and Measurement"
"IEEE Trans Magn","IEEE Transactions on Magnetics"
"IEEE Trans Microwave Theory Tech","IEEE Transactions on Microwave Theory and Techniques"
"IEEE Trans Nucl Sci","IEEE Transactions on Nuclear Science"
"IEEE Trans Sonics Ultrason","IEEE Transactions on Sonics and Ultrasonics"
"Ind Eng Chem","Industrial and Engineering Chemistry"
"Infrared Phys","Infrared Physics"
"Inorg Chem","Inorganic Chemistry"
"Inorg Mater (USSR)","Inorganic Materials (USSR) (translation of Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy)"
"Instrum Exp Tech (USSR)","Instruments and Experimental Techniques (USSR) (translation of Pribory i Tekhnika Eksperimenta)"
"Int J Magn","International Journal of Magnetism"
"Int J Quantum Chem","International Journal of Quantum Chemistry"
