"","","","Proc. London Math. Soc. (3)","user-choice","|","Proc. Lond. Math. Soc. (3)"
"","","","Math. Methods Appl. Sci.","user-choice","|","Math. Meth. Appl. Sci."
"","","","J. Differential Equations","user-choice","|","J. Differential Equations"
"","","","Math. Methods Appl. Sci.","user-choice","|","Math. Meth. Appl. Sci."
"","","","Chinese Ann. Math.","user-choice","|","Chin. Ann. Math."
"","","","J. Math. Pures Appl. (9)","user-choice","|","J. Math. Pures Appl."
"","","","Mat. Sb.","user-choice","|","Mat. Sb. (N.S.)"
"","","","Ann. Inst. Fourier (Grenoble)","user-choice","|","Ann. Inst. Fourier"
"","","","Proc. Natl. Acad. Sci. USA","user-choice","|","Proc. Natl. Acad. Sci."
"","","","Proc. Natl. Acad. Sci. USA","user-choice","|","Proc. Nat. Acad. Sci. USA"
